,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Artist,Title,Lyrics,Translations,Languages,Processed translations
0,0,0,0,0,0,Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",,,,
1,1,1,1,1,1,AP Dhillon,Excuses,"Excuses Lyrics

Mere dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan

Tutte dil nu sambhi phirde
Ki fayda mutiyaare ni
12 saal majhiyaan charaiyaan
Chadde takhtt hazarre ni
Harr saanh naal yaad tainu karde rahe
Koyi sadde wang karuga taan pata lagunga

Dil naal laare ni tan laun waliye
Dil tera jado tuttuga taan
Mere dil naal laare ni tu laun waliye
Dil tera jadon tuttuga taan pata lagunga
Dil naal larre ni tu laun waaliye
Dil tera jadonn tutuga taan

Kehndi hundi si chann takk raah bana de
Taare ne pasand mainu hethaan saare laade
Ohhna taareyaan de vichh jadonn mainu vekhengi
Meri yaad jadonn aaugi tan pata lagunga
You might also like
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan pata lagunga
Dil naal larre ni tu laun waaliye
Dil tera jadonn tutunga taan

Raas na aaya tainu ni
Jo dil da mahal banaya si
Todd ke moti phullan de
Usss mahal chhh boota laaya si
Ni jivein sannu chadd gayi aan ni tu allhade
Jado tainu koyi chadugaa taan
Ohhh jivein sannu chadd gayi aan ni tu allhade
Jado tainu koyi chadugaa taan pata lagunga

Dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan pata lagunga

Ishqe de rahan vichh rul ke rehh gaye haan !!
Loka dite taane menne has ke sehh gaye haan !!
Ishqe de rahan vichh rul ke rehh gaye haan !!
Loka dite taane menne has ke sehh gaye haan !!
Sadde pyar nu tu pairan thalle roldi rahi
Jazbaat jadonn rule ohdon pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan pata lagunga1Embed","Excuses Lyrics

Mere dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan

Tutte dil nu sambhi phirde
Ki fayda mutiyaare ni
12 saal majhiyaan charaiyaan
Chadde takhtt hazarre ni
Harr saanh naal yaad tainu karde rahe
Koyi sadde wang karuga taan pata lagunga

Dil naal laare ni tan laun waliye
Dil tera jado tuttuga taan
Mere dil naal laare ni tu laun waliye
Dil tera jadon tuttuga taan pata lagunga
Dil naal larre ni tu laun waaliye
Dil tera jadonn tutuga taan

Kehndi hundi si chann takk raah bana de
Taare ne pasand mainu hethaan saare laade
Ohhna taareyaan de vichh jadonn mainu vekhengi
Meri yaad jadonn aaugi tan pata lagunga
You might also like
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan pata lagunga
Dil naal larre ni tu laun waaliye
Dil tera jadonn tutunga taan

Raas na aaya tainu ni
Jo dil da mahal banaya si
Todd ke moti phullan de
Usss mahal chhh boota laaya si
Ni jivein sannu chadd gayi aan ni tu allhade
Jado tainu koyi chadugaa taan
Ohhh jivein sannu chadd gayi aan ni tu allhade
Jado tainu koyi chadugaa taan pata lagunga

Dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan pata lagunga

Ishqe de rahan vichh rul ke rehh gaye haan !!
Loka dite taane menne has ke sehh gaye haan !!
Ishqe de rahan vichh rul ke rehh gaye haan !!
Loka dite taane menne has ke sehh gaye haan !!
Sadde pyar nu tu pairan thalle roldi rahi
Jazbaat jadonn rule ohdon pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan pata lagunga1Embed",gu,"{'haan', 'ohdon', 'mainu', 'tainu', 'tuttuga', 'taa', 'rule', 'taareyaan', 'kehndi', 'taan', 'jazbaat', 'chadd', 'usss', 'tutunga', 'vichh', 'ishqe', 'saal', 'chadugaa', 'lyric', 'taane', 'raas', 'sehh', 'wang', 'gaye', 'pairan', 'thalle', 'chadde', 'tera', 'dite', 'jadonn', 'rahe', 'hundi', 'allhade', 'yaad', 'sambhi', 'raah', 'sadde', 'aaya', 'tan', 'mere', 'ohhna', 'mahal', 'todd', 'takhtt', 'laade', 'bana', 'charaiyaan', 'waliye', 'taare', 'takk', 'aan', 'naal', 'saanh', 'chhh', 'majhiyaan', 'chann', 'aaugi', 'harr', 'lagunga', 'dil', 'rul', 'hethaan', 'banaya', 'loka', 'meri', 'tuu', 'hazarre', 'jivein', 'pyar', 'roldi', 'menne', 'laare', 'fayda', 'ohhh', 'laaya', 'pata', 'pasand', 'tutuga', 'phirde', 'jadon', 'karde', 'rahi', 'koyi', 'laun', 'mutiyaare', 'tutte', 'gayi', 'excuse', 'sannu', 'jado', 'moti', 'rehh', 'karuga', 'larre', 'waaliye', 'boota', 'phullan', 'vekhengi', 'saare', 'rahan'}"
2,2,2,2,2,2,King,Tu Aake Dekhle,,,,
3,3,3,3,3,3,Jasleen Royal,"Ranjha (From ""Shershaah"")",,,,
4,4,4,4,4,4,Shae Gill,Pasoori,"Pasoori Lyrics
Agg lavan majboori nu
Aan jaan di pasoori nu
Zehar bane haan teri
Pee jaavan main poori nu
Aana si o nai aaya
Dil baang baang mera takraya
Kaga bol ke dus jaavein
Paavan gheyo dee choori nu

Raawaan ch baawan ch o nu lukawaan
Koi mainu na roke

Mere dhol judaiyaan di, tenu khabar kivein hove
Aa jaave dil tera, poora vi na hove
Haan baniyan banaiyaan di, gal baat kivein hove
Aa jaave dil tera, poora vi na hove

Bhul gayi majboori nu
Duniya di dastoori nu
Saath tera hai bathera
Poora kar zaroori nu
Aana si o Nai aaya
Raasta na dikhlaaya
Dil humara de sahara
Khaahishaat adhoori nu
You might also like
Waari main jaavan, main tenu bulavaan
Gal saari taan hove

Mere dhol judaiyaan di, tenu khabar kivein hove
Aa jaave dil tera, poora vi na hove
Haan baniyan banaiyaan di, gal baat kivein hove
Aa jaave dil tera, poora vi na hove

Mere dhol judaiyaan di, sardaari na hove
Mere dhol judaiyaan di
Ahhhhaaaaaaa
Mere dhol judaiyaan di, sardaari na hove
Dildaaran di, sab yaaaran di, aazaari na hove
Dildaaran di, sab yaaaran di, aazaari na hove
Aa chalein le ke tujhe
Hai jahaan silsilay
Tu hai wahi, hai teri kami
Bana de, saza de, panah de hume
Bana de, saza de, panah de hume
Agg lavan majboori nu
Aan jaan di pasoori nu
Zehar bane haan teri
Pee jaavan main poori nu
Raawaan ch baawan ch o nu lukawaan
Koi mainu na roke

Mere dhol judaiyaan di, tenu khabar kivein hove
Aa jaave dil tera, poora vi na hove
Haan baniyan banaiyaan di, gal baat kivein hove
Aa jaave dil tera, poora vi na hove

Poora vi na hove
Poora vi na hove4Embed","Pasoori Lyrics
Agg lavan majboori nu
Aan jaan di pasoori nu
Zehar bane haan teri
Pee jaavan main poori nu
Aana si o nai aaya
Dil baang baang mera takraya
Kaga bol ke dus jaavein
Paavan gheyo dee choori nu

Raawaan ch baawan ch o nu lukawaan
Koi mainu na roke

Mere dhol judaiyaan di, tenu khabar kivein hove
Aa jaave dil tera, poora vi na hove
Haan baniyan banaiyaan di, gal baat kivein hove
Aa jaave dil tera, poora vi na hove

Bhul gayi majboori nu
Duniya di dastoori nu
Saath tera hai bathera
Poora kar zaroori nu
Aana si o Nai aaya
Raasta na dikhlaaya
Dil humara de sahara
Khaahishaat adhoori nu
You might also like
Waari main jaavan, main tenu bulavaan
Gal saari taan hove

Mere dhol judaiyaan di, tenu khabar kivein hove
Aa jaave dil tera, poora vi na hove
Haan baniyan banaiyaan di, gal baat kivein hove
Aa jaave dil tera, poora vi na hove

Mere dhol judaiyaan di, sardaari na hove
Mere dhol judaiyaan di
Ahhhhhh
Mere dhol judaiyaan di, sardaari na hove
Dildaaran di, sab yaaaran di, aazaari na hove
Dildaaran di, sab yaaaran di, aazaari na hove
Aa chalein le ke tujhe
Hai jahaan silsilay
Tu hai wahi, hai teri kami
Bana de, saza de, panah de hume
Bana de, saza de, panah de hume
Agg lavan majboori nu
Aan jaan di pasoori nu
Zehar bane haan teri
Pee jaavan main poori nu
Raawaan ch baawan ch o nu lukawaan
Koi mainu na roke

Mere dhol judaiyaan di, tenu khabar kivein hove
Aa jaave dil tera, poora vi na hove
Haan baniyan banaiyaan di, gal baat kivein hove
Aa jaave dil tera, poora vi na hove

Poora vi na hove
Poora vi na hove4Embed",gu,"{'haan', 'raasta', 'humara', 'mainu', 'jaan', 'bol', 'dildaaran', 'teri', 'silsilay', 'wahi', 'kivein', 'dhol', 'chalein', 'jaavein', 'takraya', 'taan', 'sahara', 'baniyan', 'roke', 'bulavaan', 'paavan', 'mera', 'khaahishaat', 'lyric', 'main', 'waari', 'jahaan', 'dee', 'banaiyaan', 'tera', 'khabar', 'poori', 'baat', 'dus', 'aaya', 'dastoori', 'mere', 'yaaaran', 'zehar', 'hove', 'aana', 'jaave', 'tenu', 'sab', 'bana', 'majboori', 'baawan', 'gal', 'hai', 'aan', 'kami', 'ahhhhhh', 'agg', 'poora', 'raawaan', 'bathera', 'kar', 'saza', 'choori', 'tujhe', 'saari', 'sardaari', 'dil', 'zaroori', 'saath', 'bhul', 'judaiyaan', 'panah', 'dikhlaaya', 'bane', 'lukawaan', 'aazaari', 'pee', 'duniya', 'nai', 'kaga', 'gayi', 'adhoori', 'lavan', 'hume', 'baang', 'jaavan', 'gheyo', 'pasoori', 'koi'}"
5,5,5,5,5,5,King,Maan Meri Jaan,,,,
6,6,6,6,6,6,Pritam,Shayad,"TranslationsRomanizationShayad Lyrics
शायद कभी नाकेहे सकूँ में तुम को
कहे बिना समझ लो तुम शायद
शायद मेरे खयालों मैं तुम एक दिन
मिलो मुझे कहीं पे घूम शायद

जो तुम ना हो, रहेंगे हम नहीं
जो तुम ना हो, रहेंगे हम नहीं
ना चाहिए कुछ तुम से ज़्यादा, तुम से कम नहीं
जो तुम ना हो, तो हम भी हम नहीं
जो तुम ना हो, तो हम भी हम नहीं
ना चाहिए कुछ तुम से ज़्यादा, तुम से कम नहीं

आंखों को ख़्वाब देना
खुद ही सवाल कर के, खुद ही जवाफ देना
तेरी तरफ से
बिन कम करना
जाना कहीं हो चाहे, हर बार ही गुजरना
तेरी तरफ से
ये कोशिश तो होंगी कम नहीं
ये कोशिश तो होंगी कम नहीं

ना चाहिए कुछ तुम से ज़्यादा, तुम से कम नहीं
जो तुम ना हो, रहेंगे हम नहीं
जो तुम ना हो, तो हम भी हम नहीं
ना चाहिए कुछ तुम से ज़्यादा, तुम से कम नहीं
जो तुम ना हो, जो तुम ना हो
जो तुम ना हो, जो तुम ना होYou might also like1Embed","TranslationsRomanizationShayad Lyrics
I may never be able to see you
you probably understand without saying
maybe one day you'll be on my mind
meet me somewhere maybe

What you are not, we will not be
If you are not there, we will not be there
I don't want anything more than you, nothing less than you
If you are not there then we are also not us
If you are not there then we are also not us
I don't want anything more than you, nothing less than you

dream to the eyes
ask yourself, answer yourself
from your side
reduce bin
No matter where I go, I pass every time
from your side
This effort will not be less
This effort will not be less

I don't want anything more than you, nothing less than you
If you are not there, we will not be there
If you are not there then we are also not us
I don't want anything more than you, nothing less than you
who you are not who you are not
Jo Tum Na Ho Jo Tum Na HoYou might also like1Embed",hi,"{'able', 'lyric', 'effort', 'side', 'matter', 'understand', 'answer', 'youll', 'eye', 'reduce', 'probably', 'translationsromanizationshayad', 'mind', 'maybe', 'meet', 'dream', 'somewhere', 'hoyou', 'may', 'pas', 'tum', 'bin', 'ask', 'time'}"
7,7,7,7,7,7,Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"")",,,,
8,8,8,8,8,8,The Kid LAROI,Stay,,,,
9,9,9,9,9,9,Shubh,No Love,"NO LOVE Lyrics
Ankhan vich surma kaala
Bulla de laare ni
Muh te maskara jhoota
Chober te bhaave ni
Kinne aa piche laaye
Te kinne chaare ni
Gin gin ke dil tod’di
Jeyon tut de taare ni

Reha ni hune aitbaar, sohniye
Reha ni hune aitbaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar

Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar

Zulfa de jaal tere ni
Khuda da kehar kude
Nain bekaabu tere
Bande aa zehaar kude
Bas ikko manggi rab to
Manggi teri khair kude
Sadda kassoor si kahda
Kaddeya jo vair kude
You might also like
Maadi tu kiti behisaab, sohniye
Maadi tu kiti behisaab
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar

Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar

Ho rang tea chanan warga
Dil kaali raat kude
Thoddi te kaala til jo
Paunda si baat kude
Kakha da karta ni tu
Mangda si saath kude
Aa lai chakk likhan laata
Teri karamaat kude

Tutti aa adh vichkaar, sohniye
Tutti aa adh vichkaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar
Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaarEmbed","NO LOVE Lyrics
Ankhan vich surma kaala
Bulla de laare ni
Muh te maskara jhoota
Chober te bhaave ni
Kinne aa piche laaye
Te kinne chaare ni
Gin gin ke dil tod'di
Jeyon tut de taare ni

Reha ni hune aitbaar, sohniye
Reha ni hune aitbaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar

Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar

Zulfa de jaal tere ni
Khuda da kehar kude
Nain bekaabu tere
Bande aa zehaar kude
Bas ikko manggi rab to
Manggi teri khair kude
Sadda kassoor si kahda
Kaddeya jo vair kude
You might also like
Maadi tu kiti behisaab, sohniye
Maadi tu kiti behisaab
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar

Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar

Ho rang tea chanan warga
Dil kaali raat kude
Thoddi te kaala til jo
Paunda si baat kude
Kakha da karta ni tu
Mangda si saath kude
Aa lai chakk likhan laata
Teri karamaat kude

Tutti aa adh vichkaar, sohniye
Tutti aa adh vichkaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaar
Ehda ni chlade pyaar
Ehda ni chlade pyaar, sohniye
Ehda ni chlade pyaarEmbed",gu,"{'lyric', 'ikko', 'maskara', 'bande', 'laare', 'reha', 'paunda', 'kude', 'toddi', 'manggi', 'khuda', 'zehaar', 'ankhan', 'warga', 'likhan', 'aitbaar', 'sadda', 'teri', 'kaddeya', 'chober', 'chaare', 'ehda', 'kiti', 'chanan', 'khair', 'vichkaar', 'kaali', 'love', 'rang', 'kaala', 'gin', 'hune', 'tere', 'behisaab', 'tea', 'rab', 'thoddi', 'baat', 'karta', 'dil', 'lai', 'til', 'bekaabu', 'bhaave', 'laaye', 'kassoor', 'muh', 'zulfa', 'saath', 'kehar', 'vich', 'kinne', 'nain', 'kakha', 'raat', 'piche', 'jhoota', 'laata', 'karamaat', 'jeyon', 'jaal', 'vair', 'chlade', 'mangda', 'adh', 'pyaar', 'chakk', 'tut', 'kahda', 'maadi', 'taare', 'tutti', 'bulla', 'sohniye', 'surma'}"
