,Artists,Title,Lyrics
0,Hanan Ben Ari,אלוף העולם,"9 ContributorsAluf Ha’olam - אלוף העולם Lyrics
אני אלוף העולם בלהדחיק
כל מה שמפחיד אותי, כל מה שמלחיץ, אני משתיק
אני אלוף העולם בלאהוב
קודם את עצמי, אחר כך בבמה וברחוב
הכי קשה לתת למישהו קרוב
אני אלוף העולם בלא להיות
בלא לפתור לך את הבעיות
אפילו התמונות שבקירות
זה לא אני תליתי
אני אחראי רק על המנגינות

אני אלוף העולם בליפול
ולקום כמו גדול
את תראי, כמו עוף חול
אני נשרף, אבל בוחר בכל יום להמשיך לחיות
אני אלוף העולם בלרצות
לפחות לנסות
את תראי, איך בסוף
אחרי ההפסדים הניצחון הרבה יותר מתוק
אני אלוף העולם

אני אלוף העולם בלהצדיק
חולשות ותאוות
היצר הוא מכר ותיק
מכיר כל טריק עתיק שהוא מחזיק בתיק
אבל תראי, יום אחד אהיה צדיק
עמוק בפנים כל מה שיש לי לא מספיק בעליל
אני עכבר קטן והחיים חליל
נופל לבור כי לא מצליח להבדיל
בין טוב לרע ולאן כל זה מוביל
את משדרת עסקים כרגיל
אבל תכף ייגמר לנו הפתיל
You might also like
אני אלוף העולם בליפול
ולקום כמו גדול
את תראי, כמו עוף חול
אני נשרף, אבל בוחר בכל יום להמשיך לחיות
אני אלוף העולם בלרצות
לפחות לנסות
את תראי, איך בסוף
אחרי ההפסדים הניצחון הרבה יותר מתוק
אני אלוף העולם

(אלוף העולם)

אני אלוף העולם בלפצות
להתנצל ולרצות
לחטוא, להתנקות
לחשוף, להתכסות
תגידי, איך כותבים שירים עם אלף ציפיות
מיליוני צפיות

אני אלוף העולם בליפול
ולקום כמו גדול
את תראי, כמו עוף חול
אני נשרף, אבל בוחר בכל יום להמשיך לחיות
אני אלוף העולםEmbed"
1,Ishay Ribo,לשוב הביתה,"6 ContributorsLashuv Habaita - לשוב הביתה Lyrics

הגיע הזמן להתעורר
לעזוב הכל, להתגבר
לשוב הביתה, לא לחפש מקום אחר
הגיע הזמן להשתנות
גם אם פספסנו תחנות
אפשר לרדת, יש רכבת חזרה לשכונות

הכל אפשר רק אם נרצה
המחפש תמיד מוצא
גם אם הוא נמצא אי שם הרחק בקצה
דלתות שמיים לא ננעלו
""כשהבן קורא, ""הצילו
אבא שבשמיים מגיע אפילו

אפילו שעשינו משהו רע
הוא מוחל וסולח, מוחל וסולח
מושיט ידו לעזרה ונותן ברחמיו
את הכוח לתקן ולשוב אליו

You might also like
הגיע הזמן להתחרט
אם כבר לברוח, אז מהחטא
אם כבר לקחת, אז לקחת בשביל לתת
וזה הזמן להתקרב
לא לפחד מהכאב
ואם לתת, אז כבר לתת מכל הלב

הכל אפשר רק אם נרצה
המחפש תמיד מוצא
גם אם הוא נמצא אי שם הרחק בקצה
דלתות שמיים לא ננעלו
""כשהבן קורא, ""הצילו
אבא שבשמיים מגיע אפילו

אפילו שעשינו משהו רע
הוא מוחל וסולח, מוחל וסולח
מושיט ידו לעזרה ונותן ברחמיו
את הכוח לתקן ולשוב אליו

אפילו שעשינו משהו רע
הוא מוחל וסולח מוחל וסולח
מושיט ידו לעזרה ונותן ברחמיו
את הכוח לתקן ולשוב אליו

הגיע הזמן להתעורר
לעזוב הכל, להתגבר
לשוב הביתהEmbed"
2,Eden Hason,שקיעות אדומות,"3 ContributorsShki’ot Adumot - שקיעות אדומות Lyricsככה בלילות אני יושב לכתוב מילים
ככה באותו מבוך עולים געגועים
כדי שלא יחזור שוב המבול, אני שוטף את הפנים
וזורק את האבק מהחיים
ככה לא לבחור בדרך שכולם הולכים
בעיניים עצומות אני רואה את השבילים
בעולם הזה מי מחבר ומי נותן חיים
יש אמת אחת כתובה לה בספרים
לראות את הטוב
אסור לעצור את השמש עכשיו
שקיעות אדומות
מול כל העולם
משליך את הכל אל הים
ככה לפעמים אני נזכר באנשים
מי היה לי כשנשברתי, מי סגר לי בפנים?
ועד שיום חדש פתאום יבהיר הכל
יפיג בי כעסים, אגלה שאין לי מה לשמור בפנים
לראות את הטוב
אסור לעצור את השמש עכשיו
שקיעות אדומות
מול כל העולם
משליך את הכל אל הים
You might also likeכבר שנים עברה הנפש טעונה ברגשות
כשיורקים עליה אש היא משיבה בלהבות
היא תמיד רוצה לצרוח על מנת למצוא שתיקות
כמה מחשבות עברו בי, עוד שואל מה לעשות
מה נשאר?
לראות את הטוב
אסור לעצור את השמש עכשיו
שקיעות אדומות
מול כל העולם
משליך את הכל אל הים
יותר לא אפול
יותר לא אפול כי ניצחתי עכשיו
זריחות אדומות
מול כל העולם
משליך את הכל אל היםEmbed"
3,Raviv Kaner,רסיסים,"4 ContributorsResisim - רסיסים Lyrics

לא רואים בעיניים רק קופצים לאש
מה כבר רצינו לבקש
לקבל ולתת מה שיש
להחזיק בידיים כל יום שעובר
תמיד הוא ככה ממהר
אני איש מאחר

רק בלילות
עולים קולות
שאלות אבודות
מחפשות תשובה
מה שעוד לא בא

רסיסים
למה זיכרונות נמסים
כמה שאני לא כיסיתי, זה נכנס לי בתריסים
אין על מי לשים את הראש
גם אם לא שברתי, שילמתי
לך תמצא על מי לכעוס

אין אוויר בשמיים איך אפשר לנשום
הכל תקוע במקום
אבל עוד לא הפסקתי לחלום
אז קפצתי למים כי צריך לשחות
במים לא רואים דמעות
במים ישקעו חולות שזוכרים
You might also like
רק בלילות
עולים קולות
שאלות אבודות
מחפשות תשובה
בקרוב זה בא

רסיסים
למה זיכרונות נמסים
כמה שאני לא כיסיתי, זה נכנס לי בתריסים
אין על מי לשים את הראש
גם אם לא שברתי, שילמתי
לך תמצא על מי לכעוס

שאלות אבודות מחפשות תשובה
ועכשיו זה בא

רסיסים
למה זיכרונות נמסים
כמה שאני לא כיסיתי, זה נכנס לי בתריסים
אין על מי לשים את הראש
גם אם לא שברתי, שילמתי
לך תמצא על מי לכעוס
רסיסים
למה זיכרונות נמסים
כמה שאני לא כיסיתי, זה נכנס לי בתריסים
אין על מי לשים את הראש
גם אם לא שברתי, שילמתי
לך תמצא על מי לכעוסEmbed"
4,The Weeknd,Blinding Lights,"222 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch273Embed"
5,Hanan Ben Ari,אם תרצי,"2 ContributorsIm Tirtzi - אם תרצי Lyrics
בלילות אנ'לא ישן כבר שבועות
רק מתהפך מצד לצד
ומפחד שיום אחד
אני אקום ואת כבר לא תהיי
אני אצעק בכל העיר
אשאל אם מישהו ראה
לאן הלכה האהבה

אם תרצי, אני אתן לך
מנגינה שתנגן לך
את הכל
אני אתן לך את הכל

אני נשבע לך עם יד על הלב
הפעם זה על באמת
מן הקצה אל הקצה
אני חדש, אני רוצה
רוצה ממש

אם תרצי, אני אתן לך
מנגינה שתנגן לך
את הכל
אני אתן לך את הכל
וגם אשיר לך
אם תרצי, אני אתן לך
מנגינה שתרפא בך
כל מכאוב
אני אלחין וגם אכתוב
וגם אשיר לך
שיר
You might also like
אשיר לך
לה לה לה לה לה לה לה לה
לה לה לה לה לה לה לה לה

לעולם
אנל'א עוזב אותך אף פעם
גם אם נדמה שאין אותי
לנצח את אהובתי
לנצח את אהובתיEmbed"
6,Idan Rafael Haviv,שלמים,"2 ContributorsShlemim - שלמים Lyrics
את מכינה את השבת ומתפללת
אני יכול להסתכל על זה שעות
ואיך את שרה לעצמך ומתביישת
בא לי להיות
האיש הזה שמנגן לך
תראי הפכנו להיות יותר דומים
וגם אם לא תבקשי תמיד אתן לך
את כל החיים

בואי אליי
כמו הרוח לגלים
את יפה שאין מילים לדבר
בואי אליי כמו השקט ללילות
את בכל התפילות שבלב
וכל השנים שעברנו
כמה בדרך אספנו
תראי הפכנו להיות גדולים
היו מלחמות וניצחנו
כמה רחוק שהגענו
הפכנו להיות שלמים

את מבינה אותי הרבה יותר ממני
ורק איתך אני מכיר גם את עצמי
כשתחזרי כל יום תראי אותי בפתח
אהובתי
אני אומר תודה עלייך
על רגעים פשוטים
שאין להם מחיר
וגם כשאת איתי אני חושב עלייך
את כל החיים
You might also like
בואי אליי
כמו הרוח לגלים
את יפה שאין מילים לדבר
בואי אליי כמו השקט ללילות
את בכל התפילות שבלב
וכל השנים שעברנו
כמה בדרך אספנו
תראי הפכנו להיות גדולים
היו מלחמות וניצחנו
כמה רחוק שהגענו
הפכנו להיות שלמיםEmbed"
7,Marina Maximilian,ביחד,"2 ContributorsBeyahad - ביחד Lyrics
ביחד כל הזמן
עכשיו זה רגע האמת
מה כל אחד מוכן לתת
בלי פחד, לא כאן
הלך הכסף, שיילך
הזמן איתך שייתארך
איתך גם סוף העולם
לא מפחיד אותי
אני חורטת על הלב תמונה
על המיטה
איך שהאור נופל עליך
כמו בהזמנה

ביחד כל הזמן
מוצאים ת'עצמינו
משחקים עם החיים במחבואים
פותחים דף לבן
ומציירים לילדות
איש מטפס על הקירות
איתך גם סוף העולם
לא מפחיד אותי
אני חורט על הלב תמונה
על המיטה
איך שהאור נופל עלייך
כמו בהזמנה
You might also like
איתך גם סוף העולם
לא מפחיד אותי
אני חורטת על הלב תמונה
על המיטה
איך שהאור נופל עליך
כמו בהזמנה

איתך גם סוף העולם
לא מפחיד אותי
אני חורטת על הלב תמונה (את חורטת על הלב תמונה)
על המיטה
איך שהאור נופל עליך
כמו בהזמנה
איתך גם סוף העולם
לא מפחיד אותי
אני חורט על הלב תמונה
על המיטה
איך שהאור נופל עלייך
כמו בהזמנהEmbed"
8,Static & Ben El,אפס מאמץ,"4 ContributorsEfes Ma’amatz - אפס מאמץ Lyrics

טו-טו-טו-טו-טושטוש אתה רץ, תעצור שניה בצד
היום בדיוק התפנה לי, יש אצלי נוף פסטורלי
וטו-טו-טו-טו-טושטוש אל תלחץ, נציל את העולם אחרי השנ""ץ
אין מקום לעוד מדליה, אני לא צריכה מדלי-יה, אה אה

את לא צריכה לעבוד קשה
אה אה, לא לא, אה אה
אל תפחדי שיגידו שנמאס
כי את קלאס

באפס מאמץ
באפס מאמץ
איי אה יה
רק אם באפס מאמץ

(שימי לב, שימי לב, שימי לב)
את לא צריכה להיות אישה של בית
תרוויחי טוב ותפזרי עליי
תשימי מיני, אני לא קנאי
כל עוד בסוף היום את באה אליי
את לא מתאמצת (למה?), באמת לא צריך (לא צריך)
בבוקר תקומי, יהיה לך ליד המיטה כבר קפה וכריך (בתיאבון)
יבוא יום ויהיה לנו ילד, ואם הוא דומה לך, אז בטח חתיך (תום קרוז)
מהאלה שמכבדים את אמא וכולם אומרים עליו ""איזה נסיך"" (נשמה)
You might also like
בלי הימור, איתך בדוק שלפתי אס (מילאתי ווינר)
מרגיש דייל אוויר הזמן שלנו טס (ישראיר)
מתהלך איתך ברוטשילד כמו טווס
כי את קלאס בפאקינג אפס מאמץ

זה באפס מאמץ (באפס מאמץ)
זה באפס מאמץ (איי אה יה)
זה יפה לך ממש (רק אם באפס מאמץ)
זה באפס מאמץ


את לא צריכה לעבוד קשה
לא לא לא לא לא לא
אל תפחדי שיגידו שנמאס
כי את קלאס
כולה קלאס
אני קלאס

באפס מאמץ (זה באפס מאמץ)
באפס מאמץ (זה באפס מאמץ)
(זה יפה לך ממש) איי אה יה
באפס מאמץ (זה באפס מאמץ)
זה באפס מאמץ
זה באפס מאמץ
וזה יפה לך
וזה יפה לך
אפס מאמץ1Embed"
9,Harry Styles,Watermelon Sugar,"163 ContributorsTranslationsDeutschTürkçeEspañolPortuguêsPolskiNorsk (bokmål / riksmål)ČeskyDanskWatermelon Sugar Lyrics
Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want more berries and that summer feelin'
It's so wonderful and warm

Breathe me in, breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go without

Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar

Strawberries on a summer evenin'
Baby, you're the end of June
I want your belly and that summer feelin'
Getting washed away in you

Breathe me in, breathe me out
I don't know if I could ever go without
You might also like
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high

I just wanna taste it, I just wanna taste it
Watermelon sugar high

Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want your belly and that summer feelin'
I don't know if I could ever go without

Watermelon sugar high
Watermelon sugar high
Watermelon sugar high (Sugar)
Watermelon sugar high (Sugar)
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
I just wanna taste it, I just wanna taste it (Eh-eh-eh)
Watermelon sugar high
I just wanna taste it, I just wanna taste it (Ooh, yeah)
Watermelon sugar high
Watermelon sugar116Embed"
