,Artists,Title,Lyrics
0,Ulukmanapo,Расстояние,"Расстояние (Distance) Lyrics

Между нами расстояние
Но я слышу твоё дыхание
Во снах вижу твоё сияние
За что такое наказание?
Между нами расстояние
Но я слышу твоё дыхание
Во снах вижу твоё сияние
За что такое наказание?
Ты сама меня заманила, мою голову вскружила
Говорила то, что никого так сильно не любила
По телу эндорфины, всё было как в фильме
Где любовь и мир, но
Между нами всё было временно
Ушли по разным сторонам
Связь давно потеряна, это была твоя игра (Твоя игра)
Лишь твоя вина
Я и ты уже не будем никогда вместе (Нет)
Ты ведь меня тайно предала
Скажи мне, как ты могла?
Зачем ты это сделала? (Зачем ты это сделала?)
Дура, взяла и всё разрушила (Эй)
Я был слишком наивен, попал в твою паутину
Ты моё время убила, сердце разбила
Но я нашёл в себе силы забыть всё, что у нас было
Я изменил свою жизнь, е
Теперь смотри каким я стал, свои локти кусай
Я говорю тебе: «Давай, пока, bye-bye»
Я видел драму под обманом, но, дама
Я больше в твои игры не играю, не играю
Прощай навсегда, fake love, la-la-la-love
Fake love, la-la-la-love
Детка, уже поздно плакать, don’t cry
Детка, уже поздно плакать, don’t cry
You might also like
Теперь тебя нету рядом, нету рядом
Детка, падай водопадом, водопадом
Прямо на меня, я словлю тебя
Только теперь тебя нету рядом, нету рядом
Детка, падай водопадом, водопадом
Прямо на меня, э-э, я словлю тебя, э-э

Между нами расстояние (Расстояние)
Но я слышу твоё дыхание (Твоё дыхание)
Во снах вижу твоё сияние (Твоё сияние)
За что такое наказание? (Наказание)
Между нами расстояние (Расстояние)
Но я слышу твоё дыхание (Твоё дыхание)
Во снах вижу твоё сияние (Твоё сияние)
За что такое наказание?

Fake love, la-la-la-love
Fake love, la-la-la-love
Fake love, la-la-la-love
Fake love, la-la-la-loveEmbed"
1,INSTASAMKA,ЗА ДЕНЬГИ ДА,"TranslationsEnglishЗА ДЕНЬГИ ДА (FOR MONEY YES) Lyrics

Я вообще делаю, что хочу (А)
Хочу импланты — звоню врачу (Аллё)
Кто меня не любит — я вас не слышу (Чё?)
Вы просто мне завидуете, я молчу
Я не молчу, когда я хочу
Я не продаюсь, но за деньги — да (Да)
Мой продюсер говорит: «Ты — поп-звезда»
И кстати, мой продюсер — это мой муж, да
Я не скажу в ответ ничего на хейт (М-м)
И не скажу «привет», если бабок нет (Нет)
Слышу любимый звук — это звон монет
Они тянут сотни рук, это мой концерт (Е-е)

Не завожу подруг, но за деньги — да (Ха-ха-ха)
Я не делаю фиты, даже за деньги, да
Я подумаю потом, но скажу сразу «да»
За деньги, да, за деньги, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да
Да— Да— Да— Да—
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да (Да)

Это я в Дубае, я ща отдыхаю (Йей)
Да, я так богата, и я это не скрываю (Да)
Все мои подруги за собой не замечают
Они видят мои шмотки и тупо повторяют
Пусть не забывают, кто тут королева (Бакс)
Я раскидываю бабки направо и налево
Это моя манера, жена миллионера
Мне платят за концерты, я читаю под фанеру
Эту сумку мне муж купил, эти Ролексы муж купил
Кольцо с бриллиантом мне муж купил
Муж купил, мне муж купил
You might also like
Не завожу подруг, но за деньги — да (Ха-ха-ха)
Я не делаю фиты, даже за деньги, да
Я подумаю потом, но скажу сразу «да»
За деньги, да, за деньги, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да
Да— Да— Да— Да—
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да (Да— Да—)
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да (Да)Embed"
2,V $ X V PRiNCE,Мурашки,"Мурашки (Goosebumps) Lyrics

Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже
Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже
Честно, я тебя еще не знаю, Ма
Две минуты, ты уже родная, Ма
Как тебя зовут и как твои дела?
Чё ты ходишь от края до края, Ма
Пустой квадрат и тусклый свет
Закрой глаза иди ко мне
Знакомые бренды на твоем белье
Я тебе не friend, я уже в тебе
После, я уеду далеко, но буду возле
Обещаю, что приеду к тебе в гости
Возвращаться никогда не поздно
Ты мне нужна иногда
После, я уеду далеко, но буду возле
Обещаю, что приеду к тебе в гости
Как бы не манили эти соски
Ты мне нужна иногда

Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже
You might also likeЯ бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже

Покидаем остров
Улетаем в космос
Рано или поздно
Сёдня можно всё
Мысли в слух
Аппетит растет
Мы с ней улетали за мой счет
Я не знал то ли это ночь, то ли это день
Залипал в неоновый луч, нарисует тень
Масло намажь на мою постель
Масло намажь на мою постель
Я не знал то ли это ночь, то ли это день
Залипал в неоновый луч, нарисует тень
Масло намажь на мою постель
Масло намажь на мою постель

Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже
Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже3Embed"
3,INSTASAMKA,MONEYKEN LOVE,"MONEYKEN LOVE Lyrics

Только он, bitch, только он
Может заходить в my pussy zone
Только он, один на миллион
Он эталон, bitch, он мой сон
Только он, bitch, только он
Только он, один на миллион
Только он, bitch, только он
Только он, один на миллион
Моя киска для него всегда готова (Yeah)
Baby, на мне стринги Supernova (Wow)
Я дам ему со свежим макияжем (Yeah)
Мы на пляже
Я начинаю с нежного массажа
Мы никому не скажем, он меня привяжет
Он смотрит на мои большие сиськи, я их мажу (Wow)
Мажу маслом, я на всё согласна (Ау)
Million dollar man
Mister Big Dick, MONEYKEN
Я не смотрю на ценники
Он за меня платит, bitch
О-Он за меня платит, bitch
Красные трусики, красная Ferrari
Классная музыка, мы вдвоём в зале
Пока его бывшие в Бершке и Заре
Мы едем на спорткаре, он навсегда занят

Только он, bitch, только он
Может заходить в my pussy zone
Только он, один на миллион
Он эталон, bitch, он мой сон
Только он, bitch, только он
Только он, один на миллион
Только он, bitch, только он
Только он, один на миллион
Только он, bitch, только он
Может заходить в my pussy zone
Только он, один на миллион
Он эталон, bitch, он мой сон
Только он, bitch, только он
Только он, один на миллион
Только он, bitch, только он
Только он, один на миллион
You might also like
Только он, bitch, только он
Только он, bitch, только он
Только он, bitch, только он
Только он, bitch, только он1Embed"
4,Tom Odell,Another Love,"TranslationsFrançaisЎзбекTürkçeAnother Love Lyrics
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights
I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh (Oh, need a love, now, my heart is thinking of)
You might also like
I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed"
5,The Neighbourhood,Sweater Weather,"TranslationsTürkçePortuguêsDanskРусскийFrançaisSweater Weather Lyrics
And all I am is a man
I want the world in my hands
I hate the beach but I stand
In California with my toes in the sand
Use the sleeves of my sweater
Let's have an adventure
Head in the clouds but my gravity's centered
Touch my neck and I'll touch yours
You in those little high waisted shorts, oh
She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue
'Cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside this place is warm
Outside, it starts to pour
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater
'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater, woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater
'Cause it's too cold for you here
And now, let me hold
Both your hands in the holes of my sweater
You might also like
And it's too cold, it's too cold
The holes of my sweater510Embed"
6,Xcho,Про любовь,"Календарь синглов июля 2022 (July Singles Calendar) Lyrics01/07
163ONMYNECK, OG Buda & YN Jay — «Stop Today»
badCurt & Monkey — «Быстрый»
BUSHIDO ZHO — «Мой вайб»
By Индия — «Кислород»
CAKEBOY — «БЕГИ»
Joseph & Thomas Mraz — «Это тебе»
Lida & Sqwore — «<3»
May Wave$ — «Пот»
saypink — «меня нет»
StRoN — «дежавю»
Гидра — «Классика»
Джизус — «Автомат»
курящих нет — «Резинка»
Слава КПСС feat. pyrokinesis — «Р.К.Н»
ФРИК ПАТИ — «я скучаю по тебе»
08/07
Aarne & MORGENSHTERN — «DALEKO»
Andro & MAYOT — «Телефон»
cold carti — «скоро»
DEAD BLONDE — «ТУЛУЛА»
DopeVvs — «Drunk»
Fatal-M — «Ahegao dark»
GLEBASTA SPAL — «$TARZ»
intereablyy & kuinke! — «Внезапно»
IROH — «СТОП-СЛОВО»
Jubilee — «Депрессняк»
lazyy feat. TWINKY — «Любить»
less — «фото»
LUV RIZE — «Повод»
LXNER feat. RICH PEA$E — «Стал другим»
NILETTO — «FLIP FLAP»
PROOVY — «GHOST»
pyrokinesis — «Шёпот далёких звёзд»
Ramil' — «Увидимся»
SUNAMI — «Бабочки»
Xcho — «Про любовь»
Джарахов feat. SNK — «Килиманджаро»
дипинс — «этажи»
Кишлак & Роки — «Девочка-наркотик»
Леша Свик & Loc-Dog — «Домой»
ЛУЧИК & Экси — «Шрамы»
МАЛЬБЭК — «Danse Macabre»
Слава КПСС & Lida — «У тебя бы и на собаку встал»
тима ищет свет — «говорит москва»
12/07
Пафосный Малыш & RuDy-y-y — «MainShard Diss (Cyberpunk Remix)»
13/07
sadrest feat. Tha Jonic — «лай собак демо»
15/07
COLDCLOUD — «Антидепрессант»
COLDLUV — «Раны»
GREEN ORXNGE & Kylof Söze — «SMOOTH WALK»
HOFMANNITA — «Красные глаза»
LYRIQ — «Грустный тромбон»
MACAN — «Останься образом»
May Wave$ & OG Buda — «UNO»
PINQ — «Birthday»
RVMZES — «Джа морант»
Sagath — «Паутина паука»
Twinky — «Руки на стол»
VICHY — «abnormal»
WHYBABY? — «ВОТ ТАК»
Wildways — «Прятки»
zxcursed — «quinque»
алёна швец. — «Герда»
Валентин Дядька — «Всегда можно»
Зараза — «Тусовки»
изипизи — «телеграм»
кис-кис — «вебкам»
хочуспать — «по осколкам»
22/07
bezotca & Meytee — «В темноте»
CAKEBOY — «ПОДОЙДИ БЛИЖЕ»
CLONNEX — «Codeinoslav»
DJ Smash & Artik & Asti — «CO2»
dlb — «SANTO STEFANO»
INSPACE & MONRAU — «Градусы»
Jubilee — «Серебро»
LeanJe — «Влюбиться»
LXNER — «Закован»
MORGENSHTERN & ЛСП — «5:00 AM»
Scally Milano & uglystephan — «Ауу»
VELIAL SQUAD — «УПЫРЬ»
Гарри Топор — «Крокодил»
ЕГОР КРИД — «We Gotta Get Love»
кис-кис — «когда я …?»
Плага & ИНТЕРНАЛ — «Siri (пиринос)»
Слава КПСС — «Eminem Show»
Три дня дождя — «Я и одиночество»
Шайни — «Fuck it»
27/07
LUV RIZE — «Траблы»
29/07
$kinnykk — «L’amour»
ALIZADE feat. BEGE — «Kalbin bana kaldı»
Dimebag Plug  — «YSL CASHOUT»
HEARTSNOW — «А и Б»
Konfuz — «Извини»
Lil Morty — «G»
Lovesomemama — «Запретная тема»
lowlife — «демоны»
Sagath — «Зло во плоти»
Scally Milano & uglystеphan — «Заберу»
STITES & PKHAT — «OK OK»
The Limba — «Kiki»
Thomas Mraz — «Аллия»
VERBEE — «Привет, ты где?»
Валентин Дядька — «Подментованный кот»
ГАФТ feat. Masha Hima — «что болит в твоей груди?»
гнилаялирика & aikko — «Соленые звезды»
Канги — «Если не разлюбишь»
МЫ — «Dasha»
МЭЙБИ БЭЙБИ — «Дакимакура»
МЯТНАЯ ФАНТА — «Засыпай»
Наадя — «Цветы»
Плага & ИНТЕРНАЛ — «Siri»
Платина & LOVV66 — «Валына»
просто Лера — «Юность»
Сюзанна — «Святая вода»
Эмелевская — «Лолита»Embed"
7,Xcho,Ты и Я,"Ты и Я (You And Me) Lyrics

А-а-а-а-а
Только ты и я (Только ты и я)

Я был прав, но не счастлив, разбуди меня огнем
Может встать, попытаться, можешь поделиться сном
Every day перетяги — дышу музыкой назло
Я тону в этой саге, пока дымится нутро
Бере-береги мою любовь
Впере-впереди моя душа
Я не перестал любить без слов
Хочу любоваться, не спеша
Только ты и я (Ты и я), позабыли всех других
Только ты и я (Ты и я), скоро подарю круги
Ведь нас можно было вернуть
Пока не погасли звёзды (Звёзды)
И только я познал ту суть
Что для тебя мир мой создан (Создан)
Ведь нас можно было вернуть
Пока не погасли звёзды (Звёзды)
И только я познал ту суть
Что для тебя мир мой создан (Создан)

Ты как вискарь, я глушу тебя до дна
В моих объятьях одна
Дай мне огня, дай мне, дай мне, дай мне
Дай мне влюбится в тебя
Это мир не покорежен, пока в её глаза свет
С тобой буду осторожен, я отбросил этот бред
И весною с тобою мы встретимся опять
Не спорю закрою все дни, что виноват
Подержу тебя за руку, чтобы не улетела
Я был честен, детка, знаешь меня, ты все видела

Ведь нас можно было вернуть
Пока не погасли звёзды (Звёзды)
И только я познал ту суть
Что для тебя мир мой создан (Создан)
Ведь нас можно было вернуть
Пока не погасли звёзды (Звёзды)
И только я познал ту суть
Что для тебя мир мой создан (Создан, а-а-а)
You might also like
А-а-аEmbed"
8,Bakr,Сирень,"Самиздат (Samizdat) Lyrics

Мой рэп из самиздата, спальников московских under
Где не найдётся правда сути батрачинья за карму
В коробке не наступит завтра, тут негласно
Поменяется всё что было напрасно - всё и сразу
Мой рэп из самиздата, спальников московских under
Где не найдётся правда сути батрачинья за карму
В коробке не наступит завтра, тут негласно
Поменяется всё что было напрасно - всё и сразу
Пока твой районный groove - это сборище bad-furry
Мы кайфуем без дури, когда захотим, то скурим
Подадим им газку и накуски их разрубим
В кайф устроить разруху, каждый король как Кувейт
Вы все карикатурны, вызывай скорую дурку
Слушаю ваших рэп-фруктов, и от них пасёт протухлым
От панички я бы умер, я же Аркадий Укупник
Подними повыше руки, чтоб я понял что ты дурень
Позорнейший рэп-бизнес не нашёл ни подоплёки
Кичишься лейблом? Бля, чел, да ты недалёкий
Поднимая молот Тора они пробудили Локи
Им кокса не хватает, так что подохнут от ломки
Эта правда горькая, нахуй стендап и горгород
Нахуй Васю с Газгольдера, нахуй ТВ, Киркорова
Нахуй всех тех пидо‌ров, что мямлют что деньги горе
Подтирая зады золотом, живя при этом вдоволь

Сорок сороков, на каждого по 40 строк
Столица не Малага, но родила Пикассо
Это не гейские форматы про сучий сок и бесьё
В этой планете обезьян я один гоню на зло

Забираясь на Олимп будто на гору коза
Разрывая водородом вашу будку собак
Теперь мне есть что сказать, я МЦ Рижская Коса
И я давлю на глаза этим локальным мусорам (Я так и знал!)
Что мне придётся няньчиться и это не закончится
И будто ноготочицу использую их конницу
Я бы дал по лицу каждому добро-молодцу
И всё тазом накроется, ведь это моя вольница
Я извиняюсь но ваш рэп давным давно говном пропах
И если я вас похвалю, то считай вас оклеветал
И каждый медиа-великан, кому я за щеку пихал
Будет плакаться в соцсети: ""Сирень меня довела!""
You might also like
Мой рэп из самиздата, спальников московских under
Где не найдётся правда сути батрачинья за карму
В коробке не наступит завтра, тут негласно
Поменяется всё что было напрасно - всё и сразу
Мой рэп из самиздата, спальников московских under
Где не найдётся правда сути батрачинья за карму
В коробке не наступит завтра, тут негласно
Поменяется всё что было напрасно - всё и сразу1Embed"
9,V $ X V PRiNCE,Суета,"Суета (Bustle) Lyrics

Go, go-o

Я не тот, может ты не та?
Или наоборот, ты — моя суета (Ага)
Ты не та, может я не тот?
Но ты не пропадай, у меня самолёт (Е)
Я не тот, может ты не та?
Или наоборот, ты — моя суета (О)
Ты не та, может я не тот?
Но ты не пропадай, у меня самолёт (Давай)
Увезу её, как космонавт (Ага)
Изучу её, как астронавт (Окей)
Если это сон, пропадает страх (Ва)
Похуй даже, что у меня нету прав (Пох)
Похуй даже, что у меня нету слов (Пох)
Ты моя и я на всё готов (Ага)
Все что было до — это всё вода (Всё)
А мы перепутались, как провода (Е-е-е)

Это карусель для нас
Садись, я рядом
Эта канитель на раз
Не плачь, не надо
Go, go-o

Я не тот, может ты не та?
Или наоборот, ты — моя суета (Е)
Ты не та, может я не тот?
Но ты не пропадай, у меня самолёт (Let's go)
Я не тот, может ты не та?
Или наоборот, ты — моя суета
Ты не та, может я не тот? (Эй)
Но ты не пропадай, у меня самолёт
You might also like
Не спрыгивай, рискни, давай
Попробуй, но не привыкай
Скорее прыгай на мой bike
На Ninja (Вр-р-м), как самурай
Нам поровну, нам хорошо
Луна сегодня полная
Я понял всё и подошел
А ты стояла голая (Я)

Это карусель для нас
Садись, я рядом
Эта канитель на раз
Не плачь, не надо
Go, go-o

Я не тот, может ты не та?
Или наоборот, ты — моя суета (Е)
Ты не та, может я не тот?
Но ты не пропадай, у меня самолёт
Я не тот, может ты не та?
Или наоборот, ты — моя суета
Ты не та, может я не тот?
Но ты не пропадай (А-а-а)1Embed"
