,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Artist,Title,Lyrics,Translations,Languages,Processed translations
0,0,0,0,0,0,Ben&Ben,Kathang Isip,"TranslationsEnglishKathang Isip Lyrics
'Di ba nga ito ang iyong gusto?
O, ito'y lilisan na ako
Mga alaala'y ibabaon
Kalakip ang tamis ng kahapon
Mga gabing 'di namamalayang oras ay lumilipad
Mga sandaling lumalayag kung sa'n man tayo mapadpad
Bawat kilig na nadarama sa tuwing hawak ang 'yong kamay
Ito'y maling akala, isang malaking sablay

Pasensya ka na
Sa mga kathang isip kong ito
Wari'y dala lang ng pagmamahal sa iyo
Ako'y gigising na
Sa panaginip kong ito
At sa wakas ay kusang lalayo sa iyo
(Lalayo sa)
Gaano kabilis nagsimula
Gano'n katulin nawala
Maaari ba tayong bumalik sa umpisa
Upang 'di na umasa ang pusong nag-iisa?

Pasensya ka na (Pasensya ka na)
Sa mga kathang isip kong ito
Wari'y dala lang  ng pagmamahal sa iyo
Ako'y gigising na (Ako'y gigising na)
Sa panaginip kong ito
At sa wakas ay kusang lalayo sa iyo
(Lalayo sa)

Sumabay sa agos na isinulat ng tadhana
Na minsan siya'y para sa iyo, pero minsan siya'y paasa
Tatakbo papalayo, kakalimutan ang lahat
Ooh-ooh
Ooh-ooh
Ooh-ooh-ooh

Pero kahit saan man lumingon
Nasusulyapan ang kahapon
At sa aking bawat paghinga
Ikaw ang nasa isip ko, sinta
You might also like
Kaya't pasensya ka na
Sa mga kathang isip kong ito
Wari'y dala lang ng pagmamahal sa iyo
Ako'y gigising na
Mula sa panaginip kong ito
At sa wakas ay kusang lalayo sa iyo
(Lalayo sa)

'Diba nga ito ang iyong gusto?
O, ito'y lilisan na ako18Embed","TranslationsEnglishKathang Isip Lyrics
'Isn't this what you want?
Oh, it will leave me
Memories will be buried
The sweetness of yesterday is attached
Nights without realizing time flies
Moments that sail wherever we land
Every thrill I feel every time I hold your hand
This is a misconception, a big mistake

I'm sorry
In these fictions of mine
It seems to be brought only by love for you
I will wake up
In my dream
And finally will voluntarily walk away from you
(Go away from)
How quickly it started
That's how fast it disappeared
Can we go back to the beginning?
So that the lonely heart can no longer hope?

I'm sorry (I'm sorry)
In these fictions of mine
It seems to be brought only by love for you
I'm gonna wake up (I'm gonna wake up)
In my dream
And finally will voluntarily walk away from you
(Go away from)

Go with the flow written by destiny
That sometimes he is for you, but sometimes he is a hope
Run away, forget everything
Ooh-ooh
Ooh-ooh
Ooh-ooh-ooh

But no matter where you turn
Glimpse of yesterday
And with my every breath
You're on my mind, darling
You might also like
So be patient
In these fictions of mine
It seems to be brought only by love for you
I will wake up
From this dream of mine
And finally will voluntarily walk away from you
(Go away from)

'Isn't this what you want?
Oh, it will leave me18Embed",tl,"{'longer', 'wake', 'isip', 'mistake', 'darling', 'flow', 'memory', 'sorry', 'run', 'glimpse', 'heart', 'time', 'mine', 'attached', 'disappeared', 'matter', 'destiny', 'away', 'started', 'breath', 'mind', 'leave', 'written', 'brought', 'translationsenglishkathang', 'wherever', 'love', 'hold', 'thrill', 'buried', 'fiction', 'fast', 'finally', 'lonely', 'hand', 'moment', 'sweetness', 'patient', 'beginning', 'turn', 'misconception', 'lyric', 'hope', 'big', 'seems', 'back', 'night', 'sail', 'dream', 'quickly', 'forget', 'land', 'voluntarily', 'walk', 'realizing', 'yesterday', 'fly'}"
1,1,1,1,1,1,James Arthur,Say You Won't Let Go,"TranslationsΕλληνικάTürkçePortuguêsDeutschBahasa IndonesiaSay You Won’t Let Go Lyrics
I met you in the dark, you lit me up
You made me feel as though I was enough
We danced the night away, we drank too much
I held your hair back when you were throwin' up

Then, you smiled over your shoulder
For a minute, I was stone-cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, ""I already told ya
I think that you should get some rest""
I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
But I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I'll wake you up with some breakfast in bed
I'll bring you coffee with a kiss on your head
And I'll take the kids to school, wave them goodbye
And I'll thank my lucky stars for that night

When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, woah
And you look as beautiful as ever
And I swear that every day, you'll get better
You make me feel this way somehow

I'm so in love with you and I hope you know
Darlin', your love is more than worth its weight in gold
We've come so far, my dear, look how we've grown
And I wanna stay with you until we're grey and old
You might also like
Just say you won't let go
Just say you won't let go

I wanna live with you even when we're ghosts
'Cause you were always there for me when I needed you most

I'm gonna love you till my lungs give out
I promise till death we part, like in our vows
So, I wrote this song for you, now everybody knows
That it's just you and me till we're grey and old

Just say you won't let go
Just say you won't let go
Just say you won't let go
Oh, just say you won't let go153Embed","TranslationsΕλληνικάTürkçePortuguêsDeutschBahasa IndonesiaSay You Won’t Let Go Lyrics
I met you in the dark, you lit me up
You made me feel as though I was enough
We danced the night away, we drank too much
I held your hair back when you were throwin' up

Then, you smiled over your shoulder
For a minute, I was stone-cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, ""I already told ya
I think that you should get some rest""
I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
But I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I'll wake you up with some breakfast in bed
I'll bring you coffee with a kiss on your head
And I'll take the kids to school, wave them goodbye
And I'll thank my lucky stars for that night

When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, woah
And you look as beautiful as ever
And I swear that every day, you'll get better
You make me feel this way somehow

I'm so in love with you and I hope you know
Darlin', your love is more than worth its weight in gold
We've come so far, my dear, look how we've grown
And I wanna stay with you until we're grey and old
You might also like
Just say you won't let go
Just say you won't let go

I wanna live with you even when we're ghosts
'Cause you were always there for me when I needed you most

I'm gonna love you till my lungs give out
I promise till death we part, like in our vows
So, I wrote this song for you, now everybody knows
That it's just you and me till we're grey and old

Just say you won't let go
Just say you won't let go
Just say you won't let go
Oh, just say you won't let go153Embed",en,"{'translationsελληνικάtürkçeportuguêsdeutschbahasa', 'weight', 'dark', 'sober', 'loved', 'darlin', 'held', 'dear', 'youd', 'love', 'kid', 'enough', 'told', 'drank', 'beautiful', 'goodbye', 'pulled', 'danced', 'closer', 'bring', 'though', 'dance', 'grey', 'wave', 'won’t', 'scared', 'promise', 'worth', 'right', 'wrote', 'bed', 'throwin', 'live', 'breakfast', 'back', 'grown', 'forget', 'showed', 'school', 'old', 'smiled', 'ghost', 'looked', 'youll', 'rest', 'asked', 'letting', 'stonecold', 'far', 'death', 'played', 'star', 'till', 'lyric', 'thank', 'night', 'weve', 'indonesiasay', 'needed', 'older', 'lit', 'wake', 'met', 'chest', 'way', 'somehow', 'gold', 'look', 'vow', 'song', 'coffee', 'away', 'lucky', 'shoulder', 'head', 'cool', 'stay', 'made', 'minute', 'part', 'lung', 'hair', 'kiss', 'hope', 'better', 'swear'}"
2,2,2,2,2,2,Ben&Ben,Maybe The Night,"Maybe The Night Lyrics
I want to lay down by the fire with you
Where souls are glowing, ever warmer too
Your love surrounds me like a lullaby
Singing softly, you are mine, oh mine

Moon has never glowed this color
Hearts have never been this close
I have never been more certain
I will love you 'til we're old
Maybe the night holds a little hope for us, dear
Maybe we might want to settle down, just be near
Stay together here

We follow the pull of fate, into this moment
We follow the pull of fate, into this moment

Moon has never glowed this color
Hearts have never been this close
I have never been more certain
I will love you 'til we're old

Maybe the night holds a little hope for us, dear
Maybe we might want to settle down, just be near
Stay together


Maybe the night holds a little hope for us, dear
Maybe we might want to settle down, just be near
Maybe the night holds a little hope for us, dear
Maybe we might want to settle down, just be near
Stay together
Stay together
HereYou might also like4Embed","Maybe The Night Lyrics
I want to lay down by the fire with you
Where souls are glowing, ever warmer too
Your love surrounds me like a lullaby
Singing softly, you are mine, oh mine

Moon has never glowed this color
Hearts have never been this close
I have never been more certain
I will love you 'til we're old
Maybe the night holds a little hope for us, dear
Maybe we might want to settle down, just be near
Stay together here

We follow the pull of fate, into this moment
We follow the pull of fate, into this moment

Moon has never glowed this color
Hearts have never been this close
I have never been more certain
I will love you 'til we're old

Maybe the night holds a little hope for us, dear
Maybe we might want to settle down, just be near
Stay together


Maybe the night holds a little hope for us, dear
Maybe we might want to settle down, just be near
Maybe the night holds a little hope for us, dear
Maybe we might want to settle down, just be near
Stay together
Stay together
HereYou might also like4Embed",en,"{'certain', 'near', 'moon', 'warmer', 'follow', 'old', 'heart', 'together', 'dear', 'love', 'hold', 'color', 'little', 'stay', 'lullaby', 'til', 'pull', 'surround', 'moment', 'close', 'lyric', 'hope', 'fate', 'night', 'glowing', 'maybe', 'settle', 'hereyou', 'softly', 'lay', 'fire', 'soul', 'glowed', 'mine', 'singing'}"
3,3,3,3,3,3,December Avenue,Kung 'Di Rin Lang Ikaw,"Kung ’Di Rin Lang Ikaw Lyrics
Kung hindi rin lang ikaw ang dahilan
Pipilitin ba ang puso kong hindi na masaktan?
Kung hindi ikaw ay hindi na lang
Pipilitin pang umasa para sa'ting dalawa

Giniginaw at hindi makagalaw
Nahihirapan ang pusong pinipilit ay ikaw

Kung 'di rin tayo sa huli
Aawatin ang sarili na umibig pang muli
Kung 'di rin tayo sa huli
Aawatin ba ang puso kong ibigin ka?
Kung hindi rin lang ikaw ang dahilan
Pipiliin bang umiwas ng hindi na masaktan?
Kung hindi ikaw, ay sino pa ba?
Ang luluha sa umaga para sa'ting dalawa?

Bumibitaw, dahil 'di makagalaw
Pinipigilan ba ang puso mong iba'ng sinisigaw?

Kung 'di rin tayo sa huli
Aawatin ang sarili na umibig pang muli
Kung 'di rin tayo sa huli
Aawatin ba ang puso kong ibigin ka?

Naliligaw at malayo ang tanaw
Pinipigilan na ang pusong pinipilit ay ikaw

Kung 'di rin tayo sa huli
Aawatin ang sarili na makita kang muli
Kung 'di rin tayo sa huli
Aawatin ba ang puso kong ibigin ka?
You might also like
(Kung 'di rin tayo sa huli)
Kaya bang umibig ng iba?
(Aawatin ba ang puso kong ibigin ka?)
(Kung 'di rin tayo sa huli)
Papayagan ba ng puso kong ibigin ka?
(Aawatin ba ang puso kong ibigin ka?)3Embed","If It's Not You Lyrics
If you are not the only reason
Will my heart be forced not to hurt?
If it's not you, it's just not you
Will try to hope for both of us

Chilled and unable to move
The heart that is struggling is you

If we're not in the end
Allow yourself to fall in love again
If we're not in the end
Will my heart ache to love you?
If you are not the only reason
Will you choose to avoid getting hurt?
If not you, who else?
The tears in the morning for both of us?

Letting go, because I can't move
Does your heart stop being shouted at?

If we're not in the end
Allow yourself to fall in love again
If we're not in the end
Will my heart ache to love you?

The view is lost and distant
Preventing that the heart that is forced is you

If we're not in the end
Would love to see you again
If we're not in the end
Will my heart ache to love you?
You might also like
(Even if we're not the last)
Is it possible to fall in love with someone else?
(Will my heart ache to love you?)
(Even if we're not the last)
Will my heart allow me to love you?
(Will my heart ache to love you?)3Embed",tl,"{'view', 'possible', 'tear', 'unable', 'heart', 'else', 'letting', 'end', 'try', 'distant', 'doe', 'shouted', 'morning', 'love', 'ache', 'chilled', 'move', 'avoid', 'last', 'forced', 'preventing', 'lyric', 'hope', 'stop', 'hurt', 'struggling', 'fall', 'someone', 'allow', 'lost', 'choose', 'reason'}"
4,4,4,4,4,4,I Belong to the Zoo,Sana,"Sana Lyrics
Umuwi nang tila bang lahat nagbago na
Nawalan na ng sigla ang iyong mga mata
Ngayon ko lang naramdaman
Ang lamig ng gabi
Kahit na magdamag na tayong magkatabi

Bakit ka nag-iba?
Meron na bang iba?
Sana sinabi mo
Para 'di na umasang may tayo pa sa huli
Sana sinabi mo
Hahayaan naman kitang sumaya't umalis
Sana sinabi mo
Para 'di na umasang may tayo pa sa huli
Sana sinabi mo
Hahayaan naman kitang umalis
Umalis

Binibilang ang hakbang
Hanggang wala kana
Nagbabakasakaling lilingon ka pa
Hindi na ba mababalik ang mga sandali
Mga panahong may lalim pa ang iyong ngiti

Bakit ka nag-iba?
Meron na bang iba?

Sana sinabi mo
Para 'di na umasang may tayo pa sa huli
Sana sinabi mo
Hahayaan naman kitang sumaya't umalis
Sana sinabi mo
Para 'di na umasang may tayo pa sa huli
Sana sinabi mo
Hahayaan namang kita
You might also like
Sana sinabi mo
Para ang mga ayaw mo'y aking iibahin
Diba sinabi mo
Basta tayong dalawa'y sasaya ang mundong mapait
Diba sinabi ko
Gagawin kong lahat upang tayo parin sa huli
Biglang nalaman ko
May hinihintay ka lang palang bumalik

Sana sinabi mo
Dahil 'di ko maisip ano bang nagawa kong mali
Sana sinabi mo
Para 'di na umibig ang puso kong muli
Sana sinabi mo
Para 'di na umasang may tayo pa sa huli
Sana sinabi mo
Hahayaan naman kita

Sana sinabi mo
Para 'di na umasang may tayo pa sa huli
Sana sinabi mo6Embed","Hope Lyrics
Came home as if everything had changed
Your eyes have lost their vitality
I just felt it now
The night is cold
Even if we spend the night next to each other

Why are you different?
Is there another one?
I wish you said
Not to hope that we will have more in the end
I wish you said
I'll let you go on your way
I wish you said
Not to hope that we will have more in the end
I wish you said
I will let you go
leave

Step counts
Until it's gone
You risk looking back
Can't get those moments back
Times when your smile still has depth

Why are you different?
Is there another one?

I wish you said
Not to hope that we will have more in the end
I wish you said
I'll let you go on your way
I wish you said
Not to hope that we will have more in the end
I wish you said
I will let you
You might also like
I wish you said
For the ones you don't want, I will change them
Didn't you say that?
As long as we two, the bitter world will be happy
Didn't I say it?
I will do everything so that we are still in the end
Suddenly I knew
You're just waiting for someone to come back

I wish you said
Because I can't figure out what I did wrong
I wish you said
It's like my heart won't fall in love again
I wish you said
Not to hope that we will have more in the end
I wish you said
I will let you

I wish you said
Not to hope that we will have more in the end
I wish you said 6Embed",tl,"{'home', 'bitter', 'change', 'way', 'gone', 'figure', 'time', 'heart', 'waiting', 'eye', 'smile', 'end', 'two', 'wrong', 'leave', 'next', 'love', 'changed', 'spend', 'happy', 'step', 'moment', 'suddenly', 'risk', 'hope', 'lyric', 'looking', 'depth', 'back', 'cold', 'world', 'night', 'count', 'long', 'fall', 'someone', 'different', 'wish', 'vitality', 'lost', 'felt'}"
5,5,5,5,5,5,Up Dharma Down,Tadhana,"Tadhana Lyrics
Sa hindi inaaasahang
Pagtatagpo ng mga mundo
May minsan lang na nagdugtong
Damang-dama na ang ugong nito

'Di pa ba sapat ang sakit at lahat
Na hinding-hindi ko ipararanas sa'yo?
Ibinubunyag ka ng iyong matang
Sumisigaw ng pagsinta
Ba't 'di papatulan ang pagsuyong nagkulang?
Tayong umaasang hilaga't kanluran
Ikaw ang hantungan
At bilang kanlungan mo
Ako ang sasagip sa'yo

Saan nga ba patungo? (Saan nga ba patungo?)
Nakayapak at nahihiwagaan
Ang bagyo ng tadhana ay
Dinadala ako sa init ng bisig mo

Ba't 'di pa sabihin ang hindi mo maamin?
Ipauubaya na lang ba 'to sa hangin?
'Wag mong ikatakot ang bulong ng damdamin mo
Naririto ako't nakikinig sa'yo

Oh-woah-woah-oh, oh-woah-woah-ohh
Oh-woah-woah-oh, oh-woah-woah-ohh
Oh-woah-woah-oh, oh-woah-woah-ohh
La-la-la-la, la-la-la-la, la-la-la-laYou might also like3Embed","Fate Lyrics
Unexpectedly
Confluence of worlds
Someone only connected once
Its hum is palpable

'Isn't the pain and all enough?
That I will never experience you?
Your eyes reveal you
Screaming passion
Why won't the wrongdoing be punished?
We hope north and west
You are the destination
And as your shelter
I will save you

Where are you going? (Where is it headed?)
Barefoot and mysterious
The storm of fate is
Take me to the warmth of your arms

Why don't you say what you can't admit?
Just leave it up to the wind?
Don't be afraid of the whisper of your feelings
I'm here listening to you

Oh-woah-woah-oh, oh-woah-woah-ohh
Oh-woah-woah-oh, oh-woah-woah-ohh
Oh-woah-woah-oh, oh-woah-woah-ohh
La-la-la-la, la-la-la-la, la-la-la-laYou might also like3Embed",tl,"{'hum', 'ohwoahwoahohh', 'admit', 'punished', 'confluence', 'eye', 'lalalalayou', 'wrongdoing', 'shelter', 'barefoot', 'experience', 'save', 'screaming', 'mysterious', 'storm', 'feeling', 'leave', 'lalalala', 'enough', 'north', 'destination', 'ohwoahwoahoh', 'whisper', 'west', 'unexpectedly', 'connected', 'pain', 'palpable', 'lyric', 'hope', 'world', 'fate', 'afraid', 'listening', 'headed', 'reveal', 'arm', 'someone', 'warmth', 'passion', 'wind'}"
6,6,6,6,6,6,IV Of Spades,Mundo,"TranslationsEnglishMundo Lyrics
Sa'n darating ang mga salita
Na nanggagaling sa aming dalawa
Kung lumisan ka, 'wag naman sana
Ika'y kumapit na, nang 'di makawala

Aking sinta, ikaw na ang tahanan at mundo
Sa pagbalik, mananatili na sa piling mo
Mundo'y magiging ikaw
'Wag mag-alala kung nahihirapan ka
Halika na, sumama ka
Pagmasdan ang mga tala

Aking sinta, ikaw na ang tahanan at mundo
Sa pagbalik, mananatili na sa piling mo
Mundo'y magiging ikaw

Limutin na ang mundo
Nang magkasama tayo
Sunod sa bawat galaw
Hindi na maliligaw
Hindi na maliligaw
Hindi na maliligaw
Hindi na maliligaw
Hindi na maliligaw
Hindi na maliligaw
Hindi na maliligaw
Hindi na maliligaw
Hindi na maliligaw
Hindi na maliligaw

Aking sinta, ikaw na ang tahanan at mundo
(Mundo'y magiging ikaw)
Sa pagbalik, mananatili na sa piling mo
(Mundo'y magiging ikaw)
Aking sinta (Limutin na ang mundo)
Ikaw na ang tahanan at mundo (Nang magkasama tayo)
Sa pagbalik, (Sunod sa bawat galaw)
Mananatili na sa piling mo (Hindi na maliligaw)
Mundo'y magiging ikaw
You might also like
Limutin na ang mundo
Nang magkasama tayo
Sunod sa bawat galaw
Hindi na maliligaw
Mundo'y magiging ikaw14Embed","TranslationsEnglishMundo Lyrics
Then the words will come
That comes from both of us
If you leave, don't be
You are holding on, unable to let go

My love, you are the home and the world
On return, will stay with you
The world will be you
Don't worry if you're struggling
Come on, come along
Observe the notes

My love, you are the home and the world
On return, will stay with you
The world will be you

Forget the world
When we were together
Follow each move
Can't get lost anymore
Can't get lost anymore
Can't get lost anymore
Can't get lost anymore
Can't get lost anymore
Can't get lost anymore
Can't get lost anymore
Can't get lost anymore
Can't get lost anymore
Can't get lost anymore

My love, you are the home and the world
(world will be you)
On return, will stay with you
(world will be you)
My darling (Forget the world)
You are the home and the world (When we were together)
On return, (Next to every move)
Will stay with you (Will not get lost)
The world will be you
You might also like
Forget the world
When we were together
Follow each move
Can't get lost anymore
The world will be you14Embed",tl,"{'home', 'darling', 'holding', 'observe', 'follow', 'unable', 'return', 'note', 'together', 'translationsenglishmundo', 'leave', 'next', 'love', 'along', 'stay', 'word', 'move', 'worry', 'lyric', 'world', 'struggling', 'forget', 'lost'}"
7,7,7,7,7,7,NOBITA,Ikaw Lang,"Ikaw Lang Lyrics
Oh, kay gandang pagmasdan ang iyong mga mata
Kumikinang-kinang, 'di ko maintindihan
Ang iyong mga tingin, labis ang mga ningning
Langit ay bumaba, bumababa pala ang tala

Tumingin ka sa aking mga mata
At hindi mo na kailangan pang
Magtanong nang paulit-ulit, ikaw lang ang iniibig
At kung ’di kumbinsido'y magtiwala ka
Hawakan ang puso't maniwala na
Ikaw lang ang siyang inibig
Ikaw lang ang iibigin
At sa iyong paglalambing, ako ay nahulog din
’Di ko alam kung ano ang gagawin
'Di ko alam kung saan titingin
Halik sa labi, tinginan natin
'Di akalaing mahuhulog ka sa 'kin

Tumingin ka sa aking mga mata
At hindi mo na kailangan pang magtanong
Nang paulit-ulit, ikaw lang ang iniibig
At kung 'di kumbinsido'y magtiwala ka
Hawakan ang puso't maniwala na
Ikaw lang ang siyang inibig
Ikaw lang ang iibigin
Sinta


At sa paglisan ng araw, akala'y ’di ka mahal
At ang nadarama’y hindi magtatagal
Malay ko bang hindi mapapagal
Iibigin kita kahit gaano pa katagal

Tumingin ka sa aking mga mata
At hindi mo na kailangan pang magtanong
Nang paulit-ulit, ikaw lang ang iniibig
At kung 'di kumbinsido’y magtiwala ka
Hawakan ang puso't maniwala na
Ikaw lang ang siyang inibig
Ikaw lang ang iibigin
You might also like
La-la-la, la-la-la, la-la, la-la-la
La-la-la, la-la-la, la-la, la-la-la
La-la-la, la-la-la
La-la-la, la-la-la, la-la, la-la-la
La-la-la, la-la-la, la-la, la-la-la
La-la-la, la-la-la

SintaEmbed","Just You Lyrics
Oh, how beautiful your eyes are to behold
Shining, I don't understand
Your looks, so much the shines
The sky is coming down, the note is going down

Look into my eyes
And you don't have to
Ask repeatedly, only you are loved
And if you're not convinced have faith
Hold the heart and believe
You are the only one who loves
Only you will love
And with your caressing, I fell too
I don't know what to do
I don't know where to look
Kiss on the lips, let's see
I didn't think you would fall for me

look into my eyes
And you don't even have to ask
Again and again, only you are loved
And if you're not convinced, trust
Hold the heart and believe
You are the only one who loves
Only you will love
Darling


And when the sun left, I thought you were not loved
And the feeling will not last long
I know I can't work hard
I will love you no matter how long it takes

look into my eyes
And you don't even have to ask
Again and again, only you are loved
And if you're not convinced, trust
Hold the heart and believe
You are the only one who loves
Only you will love
You might also like
La-la-la, la-la-la, la-la, la-la-la
La-la-la, la-la-la, la-la, la-la-la
La-la-la, la-la-la
La-la-la, la-la-la, la-la, la-la-la
La-la-la, la-la-la, la-la, la-la-la
La-la-la, la-la-la

DarlingEmbed",tl,"{'darling', 'understand', 'lala', 'loved', 'heart', 'note', 'behold', 'thought', 'look', 'eye', 'repeatedly', 'hard', 'matter', 'feeling', 'sky', 'convinced', 'shining', 'left', 'love', 'hold', 'trust', 'lip', 'shine', 'last', 'kiss', 'lyric', 'beautiful', 'ask', 'lalala', 'believe', 'work', 'long', 'faith', 'fell', 'fall', 'caressing', 'sun'}"
8,8,8,8,8,8,Lauv,I Like Me Better,"TranslationsDanskI Like Me Better Lyrics
To be young and in love in New York City
To not know who I am but still know that I'm good long as you're here with me
To be drunk and in love in New York City
Midnight into morning coffee, burnin' through the hours talking
Damn

I like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time, 'cause
I like me better when, I like me better when I'm with you
I don't know what it is but I got that feelin'
Wakin' up in this bed next to you swear the room, yeah, it got no ceiling
If we lay, let the day just pass us by
I might get to too much talking, I might have to tell you somethin'
Damn

I like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time, 'cause
I like me better when, I like me better when I'm with you

Stay awhile, stay awhile
Stay here with me
Stay awhile, stay awhile, oh
Stay awhile, stay awhile
Stay here with me
Lay here with me, ooh

I like me better when I'm with you (Yes I do, yes I do, babe)
I like me better when I'm with you (Oooh noo)
I knew from the first time, I'd stay for a long time, 'cause
I like me better when, I like me better when I'm with you
You might also like
(I like me, I like me)
(Look who you made me, made me, oh noo)
Better when
I like me better when I'm with you97Embed","TranslationsDanskI Like Me Better Lyrics
To be young and in love in New York City
To not know who I am but still know that I'm good long as you're here with me
To be drunk and in love in New York City
Midnight into morning coffee, burnin' through the hours talking
Damn

I like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time, 'cause
I like me better when, I like me better when I'm with you
I don't know what it is but I got that feelin'
Wakin' up in this bed next to you swear the room, yeah, it got no ceiling
If we lay, let the day just pass us by
I might get to too much talking, I might have to tell you somethin'
Damn

I like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time, 'cause
I like me better when, I like me better when I'm with you

Stay awhile, stay awhile
Stay here with me
Stay awhile, stay awhile, oh
Stay awhile, stay awhile
Stay here with me
Lay here with me, ooh

I like me better when I'm with you (Yes I do, yes I do, babe)
I like me better when I'm with you (Oooh noo)
I knew from the first time, I'd stay for a long time, 'cause
I like me better when, I like me better when I'm with you
You might also like
(I like me, I like me)
(Look who you made me, made me, oh noo)
Better when
I like me better when I'm with you97Embed",en,"{'city', 'drunk', 'awhile', 'first', 'time', 'noo', 'look', 'wakin', 'coffee', 'york', 'burnin', 'young', 'morning', 'talking', 'next', 'love', 'oooh', 'bed', 'new', 'stay', 'feelin', 'made', 'pas', 'hour', 'lyric', 'ceiling', 'better', 'long', 'damn', 'translationsdanski', 'swear', 'midnight', 'room', 'good', 'lay', 'somethin'}"
9,9,9,9,9,9,December Avenue,Sa Ngalan Ng Pag,"Sa Ngalan Ng Pag-Ibig Lyrics
Hanggang kailan ako maghihintay
Na para bang wala nang papalit sa'yo?
Nasa'n ka man, sigaw ng puso ko'y
Ikaw hanggang ngayon, ooh-woah-oh

Kung sana lamang ay nakita mo
Ang lungkot sa'yong ngiti
Isang umagang 'di ka nagbalik
Gumising ka at nang makita mo
Ang tamis ng sandali
Ng kahapong 'di magbabalik
Hanggang sa dulo ng ating walang hanggan
Hanggang ang puso'y wala nang nararamdaman
Kahit matapos ang magpakailanpaman
Ako'y maghihintay sa ngalan ng pag-ibig

Hanggang kailan ako maghihintay
Na para bang walang iba sa piling mo?
Nasa'n ka man, sigaw ng puso ko
Ay ang pangalan mo, ooh-woah-oh

Kung sana lamang ay nakita mo
Ang lungkot sa'yong ngiti
Isang umagang 'di ka nagbalik
Gumising ka at nang makita mo
Ang tamis ng sandali
Ng kahapong 'di magbabalik

Hanggang sa dulo ng ating walang hanggan
Hanggang ang puso'y wala nang nararamdaman
Kahit matapos ang magpakailan pa man
Ako'y maghihintay sa ngalan ng pag-ibig
You might also like
Hanggang kailan pa ba magtitiis?
Nalunod na sa kaiisip
Huling kapiling ka'y sa aking panaginip
Ikaw mula noon
Ikaw hanggang ngayon

Hanggang sa dulo ng ating walang hanggan
Hanggang ang puso'y wala nang maramdaman

Hanggang sa dulo ng ating walang hanggan
Hanggang ang puso'y wala nang naramdaman
Kahit matapos ang magpakailan pa man
Ako'y maghihintay sa ngalan ng pag-ibig
Hanggang sa dulo ng ating walang hanggan (Ako'y maghihintay, ako'y maghihintay)
Hanggang ang puso'y wala nang nararamdaman (Ako'y maghihintay sa ngalan ng pag-ibig)
Kahit matapos ang magpakailan pa man (Ako'y maghihintay, ako'y maghihintay)
Ako'y maghihintay sa ngalan ng pag-ibig mo8Embed","In The Name Of Love Lyrics
Until when will I wait
As if there is no one to replace you?
Wherever you are, my heart cries out
You until now, ooh-woah-oh

If only you could have seen it
Your smile is sad
One morning you didn't come back
You wake up and when you see
The sweetness of the moment
Yesterday will not come back
Until the end of our eternity
Until the heart feels nothing
Even after forever
I will wait in the name of love

Until when will I wait
As if there is no one else with you?
Wherever you are, my heart screams
Is your name, ooh-woah-oh

If only you could have seen it
Your smile is sad
One morning you didn't come back
You wake up and when you see
The sweetness of the moment
Yesterday will not come back

Until the end of our eternity
Until the heart feels nothing
Even after forever
I will wait in the name of love
You might also like
How long will you endure?
Drowned in thought
Last time you were with me in my dream
You since then
You until now

Until the end of our eternity
Until the heart feels nothing

Until the end of our eternity
Until the heart felt nothing
Even after forever
I will wait in the name of love
Until the end of our eternity (I'll wait, I'll wait)
Until the heart feels nothing (I'll wait in the name of love)
Even after forever (I'll wait, I'll wait)
I will wait in the name of your love8Embed",tl,"{'name', 'wake', 'forever', 'heart', 'time', 'wait', 'thought', 'eternity', 'smile', 'else', 'end', 'cry', 'morning', 'love', 'wherever', 'moment', 'oohwoahoh', 'sweetness', 'last', 'lyric', 'back', 'seen', 'endure', 'long', 'drowned', 'dream', 'since', 'yesterday', 'sad', 'replace', 'scream', 'felt'}"
