,Unnamed: 0,Unnamed: 0.1,Artists,Title,Lyrics,Translations,Languages,Processed translations
0,0,0,Tom Odell,Another Love,"95 ContributorsTranslationsPortuguêsFrançaisЎзбекTürkçeAnother Love Lyrics
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights
I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna learn to love
But all my tears have been used up
You might also like
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh (Oh, need a love, now, my heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed","95 ContributorsTranslationsPortuguêsFrançaisЎзбекTürkçeAnother Love Lyrics
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights
I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna learn to love
But all my tears have been used up
You might also like
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh (Oh, need a love, now, my heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed",en,"{'lyric', 'fucking', 'word', 'fight', 'song', 'spring', 'last', 'use', 'time', 'lose', 'contributorstranslationsportuguêsfrançaisўзбекtürkçeanother', 'flower', 'ohohohohohohoh', 'heart', 'fall', 'string', 'care', 'sing', 'learn', 'tired', 'night', 'kiss', 'pretty', 'cry', 'win', 'tear', 'thatd', 'thinking', 'share', 'used', 'hand', 'love', 'sang', 'brought', 'rude', 'hurt', 'broken', 'somewhere', 'alright', 'cold', 'voice', 'many', 'daffodil'}"
1,1,1,Billie Eilish,lovely,"301 ContributorsTranslationsDanskEspañolPortuguêsDeutschFrançaisEnglish​lovely Lyrics
Thought I found a way
Thought I found a way out (Found)
But you never go away (Never go away)
So I guess I gotta stay now

Oh, I hope some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear

Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Walking out of time
Looking for a better place (Looking for a better place)
Something's on my mind
Always in my head space

But I know someday I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear
You might also like
Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Woah, yeah
Yeah, ah
Woah, woah
Hello, welcome home394Embed","301 ContributorsTranslationsDanskEspañolPortuguêsDeutschFrançaisEnglish​lovely Lyrics
Thought I found a way
Thought I found a way out (Found)
But you never go away (Never go away)
So I guess I gotta stay now

Oh, I hope some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear

Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Walking out of time
Looking for a better place (Looking for a better place)
Something's on my mind
Always in my head space

But I know someday I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear
You might also like
Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Woah, yeah
Yeah, ah
Woah, woah
Hello, welcome home394Embed",en,"{'thought', 'piece', 'lyric', 'lovely', 'year', 'fight', 'welcome', 'looking', 'fear', 'away', 'find', 'time', 'hundred', 'guess', 'alone', 'heart', 'someday', '301', 'space', 'hope', 'home', 'night', 'found', 'alive', 'head', 'tear', 'skin', 'stone', 'near', 'bone', 'outside', 'stay', 'way', 'glass', 'hide', 'hello', 'place', 'walking', 'better', 'contributorstranslationsdanskespañolportuguêsdeutschfrançaisenglish\u200blovely', 'mind', 'made', 'somethings'}"
2,2,2,Tones And I,Dance Monkey,"157 ContributorsTranslationsTürkçeEspañolРусскийDeutschFrançaisفارسیDance Monkey Lyrics
They say, ""Oh my god, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again""

I said, ""Oh my god, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin’ my whole life
But you just beg to see me dance just one more time
You might also like
Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""

Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah
They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I’ll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again
All again""114Embed","157 ContributorsTranslationsTürkçeEspañolРусскийDeutschFrançaisفارسیDance Monkey Lyrics
They say, ""Oh my god, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again""

I said, ""Oh my god, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin’ my whole life
But you just beg to see me dance just one more time
You might also like
Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""

Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah
They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I’ll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again
All again""114Embed",en,"{'lyric', 'god', 'i’ll', 'whole', 'you’re', 'eye', 'dear', 'move', 'eheheh', 'time', 'thing', 'look', 'stopped', 'dance', 'life', 'shine', 'beg', 'passing', 'cry', 'mine', 'style', '157', 'hand', 'seen', 'dead', 'monkey', 'dancin’', 'way', 'contributorstranslationstürkçeespañolрусскийdeutschfrançaisفارسیdance', 'place', 'walking'}"
3,3,3,The Weeknd,Blinding Lights,"222 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch273Embed","222 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch273Embed",en,"{'light', 'lyric', 'calling', 'back', 'time', 'look', 'goin', 'touch', 'city', 'trust', 'show', 'running', 'long', 'withdrawal', 'phone', 'riksmål日本語italianohebrewdeutschfrançaisفارسیnederlandsdanskshqipblinding', 'bokmål', 'clearly', 'night', 'contributorstranslationstürkçesvenskaespañolslovenčinaрусскийportuguêspolskinorsk', 'judge', 'maybe', 'road', 'empty', 'drowning', 'overdrive', 'enough', 'love', 'call', '222', 'sky', 'around', 'turn', 'gone', 'hit', 'blinded', 'sin', 'sleep', 'cold', 'sun'}"
4,4,4,Masked Wolf,Astronaut In The Ocean,"208 ContributorsTranslationsTürkçeРусскийDeutschFrançaisAstronaut in the Ocean Lyrics
Astronaut

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean, ayy
What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean

She say that I'm cool (Damn straight)
I'm like, ""Yeah, that's true"" (That's true)
I believe in G-O-D (Ayy)
Don't believe in T-H-O-T
She keep playing me dumb (Play me)
I'ma play her for fun (Uh-huh)
Y'all don't really know my mental
Let me give you the picture like stencil
Fallin' out in a drought
No flow, rain wasn't pourin' down (Pourin' down)
See, that pain was all around
See, my mode was kinda lounged
Didn't know which, which way to turn
Flow was cool but I still felt burnt
Energy up, you can feel my surge
I'ma kill everything like this purge (Ayy)
You might also like
Let's just get this straight for a second, I'ma work (Yuh)
Even if I don't get paid for progression, I'ma get it (Uh, get it)
Everything that I do is electric (Ayy)
I'ma keep it in a motion, keep it movin' like kinetic, ayy (Yeah, yeah, yeah, yeah, yeah)

Put this shit in a frame, better know I don't blame
Everything that I say, man, I seen you deflate
Let me elevate, this ain't a prank
Have you walkin' on a plank, li-li-li-li-like
Both hands together, God, let me pray (Now let me pray), uh
I've been goin' right, right around, call that relay (Masked Wolf)
Pass the baton, back and I'm on
Swimmin' in the pool, Kendrick Lamar, uh (Ayy)
Want a piece of this, a piece of mine, my peace a sign
Can you please read between the lines?
My rhyme's inclined to break your spine (Spine)
They say that I'm so fine (Fine)
You could never match my grind (True)
Please do not, not waste my time (Wolf)

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean, ayy
What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean69Embed","208 ContributorsTranslationsTürkçeРусскийDeutschFrançaisAstronaut in the Ocean Lyrics
Astronaut

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean, ayy
What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean

She say that I'm cool (Damn straight)
I'm like, ""Yeah, that's true"" (That's true)
I believe in G-O-D (Ayy)
Don't believe in T-H-O-T
She keep playing me dumb (Play me)
I'ma play her for fun (Uh-huh)
Y'all don't really know my mental
Let me give you the picture like stencil
Fallin' out in a drought
No flow, rain wasn't pourin' down (Pourin' down)
See, that pain was all around
See, my mode was kinda lounged
Didn't know which, which way to turn
Flow was cool but I still felt burnt
Energy up, you can feel my surge
I'ma kill everything like this purge (Ayy)
You might also like
Let's just get this straight for a second, I'ma work (Yuh)
Even if I don't get paid for progression, I'ma get it (Uh, get it)
Everything that I do is electric (Ayy)
I'ma keep it in a motion, keep it movin' like kinetic, ayy (Yeah, yeah, yeah, yeah, yeah)

Put this shit in a frame, better know I don't blame
Everything that I say, man, I seen you deflate
Let me elevate, this ain't a prank
Have you walkin' on a plank, li-li-li-li-like
Both hands together, God, let me pray (Now let me pray), uh
I've been goin' right, right around, call that relay (Masked Wolf)
Pass the baton, back and I'm on
Swimmin' in the pool, Kendrick Lamar, uh (Ayy)
Want a piece of this, a piece of mine, my peace a sign
Can you please read between the lines?
My rhyme's inclined to break your spine (Spine)
They say that I'm so fine (Fine)
You could never match my grind (True)
Please do not, not waste my time (Wolf)

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean, ayy
What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean69Embed",en,"{'inclined', 'piece', 'plank', 'god', 'dumb', 'purge', 'kill', 'kendrick', 'waste', 'back', 'pourin', 'time', 'masked', 'freeze', 'baton', 'ayy', 'line', 'lamar', 'flow', 'energy', 'hand', 'cool', 'ocean', 'prank', 'yall', 'together', 'rhyme', 'wasnt', 'people', 'mental', 'astronaut', 'pas', 'burnt', 'kinetic', 'drought', 'please', 'felt', 'read', 'pool', 'right', 'believe', 'wolf', 'match', 'blame', 'lounged', 'break', 'seen', 'frame', 'around', 'stencil', 'kinda', 'grind', 'sign', 'rollin', 'slow', 'way', 'mode', 'shit', 'lyric', 'relay', 'pain', 'numb', 'keep', 'pray', 'deep', 'swimmin', 'electric', 'spine', 'mine', 'surge', '208', 'elevate', 'brain', 'walkin', 'rain', 'contributorstranslationstürkçeрусскийdeutschfrançaisastronaut', 'paid', 'motion', 'progression', 'peace', 'true', 'playing', 'picture', 'goin', 'fallin', 'yuh', 'damn', 'fun', 'play', 'lililililike', 'uhhuh', 'straight', 'fine', 'deflate', 'man', 'movin', 'call', 'turn', 'talk', 'ima', 'thot', 'second', 'better', 'work'}"
5,5,5,The Kid LAROI,Stay,"128 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoDeutschFrançaisفارسیРусскийSTAY Lyrics
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can’t find nobody else as good as you
I need you to stay, need you to stay, hey (Oh)

I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
Oh, I’ll be fucked up if you can't be right here

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
You might also like
When I’m away from you, I miss your touch (Ooh)
You’re the reason I believe in love
It's been difficult for me to trust (Ooh)
And I’m afraid that I'ma fuck it up
Ain't no way that I can leave you stranded
'Cause you ain’t ever left me empty-handed
And you know that I know that I can't live without you
So, baby, stay

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
Woah-oh
I need you to stay, need you to stay, hey112Embed","128 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoDeutschFrançaisفارسیРусскийSTAY Lyrics
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can’t find nobody else as good as you
I need you to stay, need you to stay, hey (Oh)

I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
Oh, I’ll be fucked up if you can't be right here

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
You might also like
When I’m away from you, I miss your touch (Ooh)
You’re the reason I believe in love
It's been difficult for me to trust (Ooh)
And I’m afraid that I'ma fuck it up
Ain't no way that I can leave you stranded
'Cause you ain’t ever left me empty-handed
And you know that I know that I can't live without you
So, baby, stay

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
Woah-oh
I need you to stay, need you to stay, hey112Embed",en,"{'lyric', 'difficult', 'afraid', 'i’ll', 'fuck', 'contributorstranslationstürkçeespañolportuguêsitalianodeutschfrançaisفارسیрусскийstay', 'leave', 'you’re', 'away', 'change', 'find', 'fucked', 'time', 'thing', 'left', 'can’t', 'touch', 'trust', 'i’m', 'stranded', 'emptyhanded', 'right', 'oohwoah', 'believe', 'live', 'drunk', 'reason', 'woahoh', 'realize', 'love', 'miss', 'wasted', 'ain’t', 'else', 'ima', 'stay', 'told', 'way', 'wake', 'good', '128'}"
